id,NAME,neighbourhood group,neighbourhood,lat,long,price,review rate number,number of reviews,occupancy_proxy,estimated_revenue,potential_gain_at_70pct
19809360,HIGH END QUEEN BED -EXPOSED BRICK IN WILLIAMSBURG,Brooklyn,Williamsburg,40.71185,-73.96292,562.0,5.0,41.0,0.0,0.0,143591.0
32285817,Room 1- Guesthouse/Grey room/420friendly,Brooklyn,East Flatbush,40.6511,-73.9434,562.0,5.0,9.0,0.0,0.0,143591.0
54567256,HIGH END QUEEN BED -EXPOSED BRICK IN WILLIAMSBURG,Brooklyn,Williamsburg,40.71185,-73.96292,562.0,5.0,41.0,0.0,0.0,143591.0
32142772,NYC Entire Apt• ModernAstoria/5min - City/5min-LGA,Queens,Ditmars Steinway,40.77437,-73.9151,682.0,5.0,12.0,0.1232876712328767,30690.0,143561.0
41240257,Cozy Living Environment,Bronx,Clason Point,40.81773,-73.86164,669.0,5.0,58.0,0.11232876712328767,27428.999999999996,143500.49999999997
24833081,"1 Bedroom, Pvt Living Space & Bath- Till May 30th",Manhattan,Upper West Side,40.79908,-73.96465,827.0,5.0,2.0,0.22465753424657534,67814.0,143484.5
39448044,3 Bedroom 2.5  Bath Multilevel Home,Manhattan,Harlem,40.82312,-73.94971,688.0,5.0,108.0,0.12876712328767123,32336.0,143448.0
30817804,Modern Three Bedroom Loft in the heart of Brooklyn,Brooklyn,Bedford-Stuyvesant,40.68721,-73.93061,905.0,5.0,2.0,0.26575342465753427,87785.0,143442.5
34578415,"Sunny, Spacious & Sweet 2BD home!",Brooklyn,Williamsburg,40.71118,-73.95192,1099.0,5.0,46.0,0.3424657534246575,137375.0,143419.5
55587907,Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains,Brooklyn,East New York,40.6757,-73.88925,817.0,5.0,22.0,0.2191780821917808,65360.0,143383.5
20830011,Cozy 2 Bedroom Apt w/ Patio & Hot Tub near Trains,Brooklyn,East New York,40.6757,-73.88925,817.0,5.0,22.0,0.2191780821917808,65360.0,143383.5
34886046,Room has queen size bed,Manhattan,Midtown,40.76301,-73.98005,934.0,5.0,2.0,0.27945205479452057,95268.0,143368.99999999997
39792127,Breathtaking view of New York city,Manhattan,Upper West Side,40.7886,-73.97553,826.0,5.0,28.0,0.22465753424657534,67732.0,143310.99999999997
2102070,Large 1BR Columbia University,Manhattan,Morningside Heights,40.81368,-73.95942,579.0,5.0,5.0,0.021917808219178082,4632.0,143302.49999999997
54273985,Luxurious Harlem 1 Bdrm Steps from Subway,Manhattan,Harlem,40.81581,-73.94142,945.0,5.0,22.0,0.28493150684931506,98280.00000000001,143167.5
